instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,day_type,year_label,month_name,weekday_name
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,Spring,Mist,Weekend/Holiday,2011,January,Sunday
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,Spring,Mist,Weekend/Holiday,2011,January,Sunday
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Spring,Light Rain/Snow,Weekend/Holiday,2011,January,Sunday
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,Spring,Mist,Weekend/Holiday,2011,January,Sunday
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Spring,Light Rain/Snow,Weekend/Holiday,2011,January,Sunday
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,Spring,Mist,Weekend/Holiday,2011,January,Sunday
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Spring,Mist,Weekend/Holiday,2011,January,Sunday
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Spring,Mist,Weekend/Holiday,2011,January,Sunday
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Spring,Mist,Weekend/Holiday,2011,January,Sunday
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Spring,Mist,Weekend/Holiday,2011,January,Sunday
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,Spring,Light Rain/Snow,Weekend/Holiday,2011,January,Sunday
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Spring,Light Rain/Snow,Weekend/Holiday,2011,January,Sunday
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Spring,Light Rain/Snow,Weekend/Holiday,2011,January,Sunday
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,Spring,Clear,Weekend/Holiday,2011,January,Sunday
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Spring,Mist,Weekend/Holiday,2011,January,Sunday
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Spring,Clear,Weekend/Holiday,2011,January,Sunday
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Spring,Clear,Weekend/Holiday,2011,January,Sunday
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Spring,Clear,Weekend/Holiday,2011,January,Sunday
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Spring,Clear,Weekend/Holiday,2011,January,Sunday
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Spring,Clear,Weekend/Holiday,2011,January,Sunday
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,Spring,Clear,Working Day,2011,January,Monday
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Spring,Clear,Working Day,2011,January,Monday
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Spring,Clear,Working Day,2011,January,Monday
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Spring,Clear,Working Day,2011,January,Monday
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Spring,Clear,Working Day,2011,January,Monday
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,Spring,Clear,Working Day,2011,January,Monday
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Spring,Clear,Working Day,2011,January,Monday
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Spring,Clear,Working Day,2011,January,Monday
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Spring,Clear,Working Day,2011,January,Monday
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Spring,Clear,Working Day,2011,January,Monday
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Spring,Clear,Working Day,2011,January,Monday
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Spring,Clear,Working Day,2011,January,Monday
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Spring,Clear,Working Day,2011,January,Monday
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Spring,Clear,Working Day,2011,January,Monday
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Spring,Clear,Working Day,2011,January,Monday
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Spring,Clear,Working Day,2011,January,Monday
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Spring,Clear,Working Day,2011,January,Monday
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,Spring,Clear,Working Day,2011,January,Monday
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Spring,Clear,Working Day,2011,January,Monday
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,Spring,Clear,Working Day,2011,January,Monday
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Spring,Clear,Working Day,2011,January,Monday
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Spring,Clear,Working Day,2011,January,Monday
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,Spring,Clear,Working Day,2011,January,Tuesday
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,Spring,Clear,Working Day,2011,January,Tuesday
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,Spring,Clear,Working Day,2011,January,Tuesday
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,Spring,Clear,Working Day,2011,January,Tuesday
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,Spring,Clear,Working Day,2011,January,Tuesday
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,Spring,Clear,Working Day,2011,January,Tuesday
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,Spring,Clear,Working Day,2011,January,Tuesday
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,Spring,Clear,Working Day,2011,January,Tuesday
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,Spring,Clear,Working Day,2011,January,Tuesday
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,Spring,Mist,Working Day,2011,January,Tuesday
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,Spring,Clear,Working Day,2011,January,Tuesday
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,Spring,Clear,Working Day,2011,January,Tuesday
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,Spring,Clear,Working Day,2011,January,Tuesday
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,Spring,Clear,Working Day,2011,January,Tuesday
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,Spring,Clear,Working Day,2011,January,Tuesday
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,Spring,Clear,Working Day,2011,January,Tuesday
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,Spring,Clear,Working Day,2011,January,Tuesday
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,Spring,Clear,Working Day,2011,January,Tuesday
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,Spring,Clear,Working Day,2011,January,Tuesday
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,Spring,Clear,Working Day,2011,January,Tuesday
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,Spring,Clear,Working Day,2011,January,Tuesday
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,Spring,Clear,Working Day,2011,January,Tuesday
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,Spring,Clear,Working Day,2011,January,Tuesday
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,Spring,Clear,Working Day,2011,January,Wednesday
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,Spring,Clear,Working Day,2011,January,Wednesday
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,Spring,Clear,Working Day,2011,January,Wednesday
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,Spring,Clear,Working Day,2011,January,Wednesday
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,Spring,Clear,Working Day,2011,January,Wednesday
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,Spring,Clear,Working Day,2011,January,Wednesday
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,Spring,Clear,Working Day,2011,January,Wednesday
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,Spring,Clear,Working Day,2011,January,Wednesday
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,Spring,Clear,Working Day,2011,January,Wednesday
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,Spring,Clear,Working Day,2011,January,Wednesday
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,Spring,Clear,Working Day,2011,January,Wednesday
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,Spring,Clear,Working Day,2011,January,Wednesday
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,Spring,Clear,Working Day,2011,January,Wednesday
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,Spring,Clear,Working Day,2011,January,Wednesday
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,Spring,Clear,Working Day,2011,January,Wednesday
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,Spring,Clear,Working Day,2011,January,Wednesday
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,Spring,Clear,Working Day,2011,January,Wednesday
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,Spring,Clear,Working Day,2011,January,Wednesday
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,Spring,Clear,Working Day,2011,January,Wednesday
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,Spring,Clear,Working Day,2011,January,Wednesday
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,Spring,Clear,Working Day,2011,January,Wednesday
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,Spring,Clear,Working Day,2011,January,Wednesday
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,Spring,Clear,Working Day,2011,January,Wednesday
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,Spring,Clear,Working Day,2011,January,Thursday
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,Spring,Clear,Working Day,2011,January,Thursday
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,Spring,Clear,Working Day,2011,January,Thursday
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,Spring,Mist,Working Day,2011,January,Thursday
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,Spring,Mist,Working Day,2011,January,Thursday
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,Spring,Mist,Working Day,2011,January,Thursday
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,Spring,Mist,Working Day,2011,January,Thursday
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,Spring,Clear,Working Day,2011,January,Thursday
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,Spring,Mist,Working Day,2011,January,Thursday
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,Spring,Clear,Working Day,2011,January,Thursday
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,Spring,Clear,Working Day,2011,January,Thursday
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,Spring,Clear,Working Day,2011,January,Thursday
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,Spring,Clear,Working Day,2011,January,Thursday
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,Spring,Clear,Working Day,2011,January,Thursday
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,Spring,Clear,Working Day,2011,January,Thursday
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,Spring,Clear,Working Day,2011,January,Thursday
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,Spring,Clear,Working Day,2011,January,Thursday
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,Spring,Clear,Working Day,2011,January,Thursday
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,Spring,Clear,Working Day,2011,January,Thursday
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,Spring,Clear,Working Day,2011,January,Thursday
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,Spring,Mist,Working Day,2011,January,Thursday
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,Spring,Mist,Working Day,2011,January,Thursday
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,Spring,Mist,Working Day,2011,January,Thursday
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,Spring,Mist,Working Day,2011,January,Friday
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,Spring,Mist,Working Day,2011,January,Friday
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,Spring,Mist,Working Day,2011,January,Friday
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,Spring,Mist,Working Day,2011,January,Friday
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,Spring,Light Rain/Snow,Working Day,2011,January,Friday
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,Spring,Mist,Working Day,2011,January,Friday
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,Spring,Clear,Working Day,2011,January,Friday
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,Spring,Clear,Working Day,2011,January,Friday
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,Spring,Clear,Working Day,2011,January,Friday
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,Spring,Clear,Working Day,2011,January,Friday
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,Spring,Mist,Working Day,2011,January,Friday
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,Spring,Mist,Working Day,2011,January,Friday
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,Spring,Mist,Working Day,2011,January,Friday
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,Spring,Mist,Working Day,2011,January,Friday
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,Spring,Mist,Working Day,2011,January,Friday
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,Spring,Mist,Working Day,2011,January,Friday
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,Spring,Mist,Working Day,2011,January,Friday
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,Spring,Clear,Working Day,2011,January,Friday
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,Spring,Clear,Working Day,2011,January,Friday
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,Spring,Clear,Working Day,2011,January,Friday
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,Spring,Clear,Working Day,2011,January,Friday
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,Spring,Mist,Working Day,2011,January,Friday
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,Spring,Mist,Working Day,2011,January,Friday
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,Spring,Mist,Weekend/Holiday,2011,January,Saturday
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,Spring,Mist,Weekend/Holiday,2011,January,Saturday
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,Spring,Mist,Weekend/Holiday,2011,January,Saturday
165,2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,Spring,Light Rain/Snow,Weekend/Holiday,2011,January,Saturday
166,2011-01-08,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,Spring,Light Rain/Snow,Weekend/Holiday,2011,January,Saturday
167,2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,Spring,Mist,Weekend/Holiday,2011,January,Saturday
168,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,Spring,Mist,Weekend/Holiday,2011,January,Saturday
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,Spring,Mist,Weekend/Holiday,2011,January,Saturday
170,2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,Spring,Light Rain/Snow,Weekend/Holiday,2011,January,Saturday
171,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,Spring,Light Rain/Snow,Weekend/Holiday,2011,January,Saturday
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,Spring,Mist,Weekend/Holiday,2011,January,Saturday
173,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,Spring,Mist,Weekend/Holiday,2011,January,Saturday
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,Spring,Mist,Weekend/Holiday,2011,January,Saturday
175,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,Spring,Clear,Weekend/Holiday,2011,January,Saturday
176,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,Spring,Clear,Weekend/Holiday,2011,January,Saturday
177,2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,Spring,Clear,Weekend/Holiday,2011,January,Saturday
178,2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,Spring,Clear,Weekend/Holiday,2011,January,Saturday
179,2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,Spring,Clear,Weekend/Holiday,2011,January,Saturday
180,2011-01-08,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,Spring,Clear,Weekend/Holiday,2011,January,Saturday
181,2011-01-08,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,Spring,Clear,Weekend/Holiday,2011,January,Saturday
182,2011-01-08,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,Spring,Clear,Weekend/Holiday,2011,January,Saturday
183,2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,Spring,Clear,Weekend/Holiday,2011,January,Saturday
184,2011-01-08,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,Spring,Clear,Weekend/Holiday,2011,January,Saturday
185,2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,Spring,Clear,Weekend/Holiday,2011,January,Saturday
186,2011-01-09,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,Spring,Clear,Weekend/Holiday,2011,January,Sunday
